"legacy_id","shop_strength"
"214","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"128","ここ来たらいも天は外せん。手元に置いたら嬉しなるき。 見たら分かるき。"
"65","いも天目当てで来る人も多いがよ。家にあると助かるき。 外せんきね。 毎回ちょっと覗きたくなる店よ。"
"15","今日はじゃがいもがえい日よ。手に取った時がえいき。 あれこれ見てみいや。"
"98","ここで竹細工を選んだら外さんき。持った感じが軽うてえい。 こりゃおすすめやき。"
"295","迷うたらハーブやね。持った感じが軽うてえい。 見たら分かるき。"
"189","道具の弁当箱本舗のざるは評判やきね。見た目と手触りが違うき。 一回のぞいてみいや。 一度買うたらまた来とうなるき。"
"105","ガラス細工、見たら気分が上がるで。手間かけちゅうのが分かるき。 ついでに寄ってみいや。"
"252","この店の推しは弁当箱。家にあると助かるき。 のぞくだけでも楽しいき。"
"72","今日はアイスクリームがえい日よ。今朝見たとき一番えかったき。 今日は寄ってみいや。"
"62","ブローチはここがいちばんやき。使うたら分かるがよ。 今日は寄ってみいや。 一度買うたらまた来とうなるき。"
"296","迷うたらアクセサリーやね。今日は出来がえい日やき。 こりゃおすすめやき。 えいもんが揃っちゅうき。"
"35","まず陶器から見てみいや。使うたら分かるがよ。 こりゃおすすめやき。 ここは外さんと損やき。"
"136","今日は剪定鋏をのぞいていきや。扱いやすいがよ。 今日は寄ってみいや。"
"188","今日は彫刻刀がえい日よ。気負わず使えるのがえい。 ついでに寄ってみいや。 おばあが今いちばん推す店よ。"
"225","苗木園の肥料は評判やきね。見た目と手触りが違うき。 今日は寄ってみいや。"
"132","まずチャームから見てみいや。色味がよう出ちゅう。 のぞくだけでも楽しいき。"
"6","えいイヤリングが揃うちゅう。手元に置いたら嬉しなるき。 手に取ってみてよ。 えいもんが揃っちゅうき。"
"133","ちょいと染物見ていきや。仕上げがきれいに出ちゅう。 のぞくだけでも楽しいき。 一度買うたらまた来とうなるき。"
"226","イヤリング、見たら気分が上がるで。扱いやすいがよ。 手に取ってみてよ。 最近は特に人気やきね。"
"143","今週は剪定鋏がよう出ちゅう。扱いやすいがよ。 見たら分かるき。"
"86","ほっこり焼き芋亭のおはぎは評判やきね。手元に置いたら嬉しなるき。 今日は寄ってみいや。"
"149","この店の推しはアイスクリーム。普段使いにちょうどえい。 今日は寄ってみいや。 朝いちに寄る人も多いき。"
